,city,latitude,longitude,province,unnamed: 4,unnamed: 5,year,violations,incidents,rates,matched_geo_name,total_population,total_private_dwellings,population_density,pct_0_14,pct_15_64,pct_65_plus,avg_age,median_age,median_income,avg_income,low_income_households,total_visible_minority,not_visible_minority,no_diploma,highschool,post_secondary
807,Middleton,44.9455,-65.07,Nova Scotia,municipal [12031],,2013,Total other Criminal Code violations [300],,,Middleton,1832.0,995.0,329.1,225,1035,565,48.6,51.5,40896,52241,1750,40,1710,300,440,780
808,North Sydney,46.2065,-60.2524,Nova Scotia,municipal [12035],,2013,"Total, all Criminal Code violations (excluding traffic) [50]",,,Port Hawkesbury,3214.0,1554.0,396.6,485,1990,745,44.6,46.3,59552,73635,3080,55,3025,460,595,1525
809,North Sydney,46.2065,-60.2524,Nova Scotia,municipal [12035],,2013,Total violent Criminal Code violations [100],,,Port Hawkesbury,3214.0,1554.0,396.6,485,1990,745,44.6,46.3,59552,73635,3080,55,3025,460,595,1525
810,North Sydney,46.2065,-60.2524,Nova Scotia,municipal [12035],,2013,Total property crime violations [200],,,Port Hawkesbury,3214.0,1554.0,396.6,485,1990,745,44.6,46.3,59552,73635,3080,55,3025,460,595,1525
811,North Sydney,46.2065,-60.2524,Nova Scotia,municipal [12035],,2013,Total other Criminal Code violations [300],,,Port Hawkesbury,3214.0,1554.0,396.6,485,1990,745,44.6,46.3,59552,73635,3080,55,3025,460,595,1525
812,Springhill,45.6486,-64.0603,Nova Scotia,municipal [12043],,2013,"Total, all Criminal Code violations (excluding traffic) [50]",484.0,12696.75,Kentville,6271.0,2891.0,363.3,995,3875,1400,44.2,45.4,56909,73023,6010,290,5720,785,1400,2825
813,Springhill,45.6486,-64.0603,Nova Scotia,municipal [12043],,2013,Total violent Criminal Code violations [100],173.0,4538.3,Kentville,6271.0,2891.0,363.3,995,3875,1400,44.2,45.4,56909,73023,6010,290,5720,785,1400,2825
814,Springhill,45.6486,-64.0603,Nova Scotia,municipal [12043],,2013,Total property crime violations [200],213.0,5587.62,Kentville,6271.0,2891.0,363.3,995,3875,1400,44.2,45.4,56909,73023,6010,290,5720,785,1400,2825
815,Springhill,45.6486,-64.0603,Nova Scotia,municipal [12043],,2013,Total other Criminal Code violations [300],98.0,2570.83,Kentville,6271.0,2891.0,363.3,995,3875,1400,44.2,45.4,56909,73023,6010,290,5720,785,1400,2825
816,Stellarton,45.5568,-62.6603,Nova Scotia,municipal [12044],,2013,"Total, all Criminal Code violations (excluding traffic) [50]",229.0,5157.66,Stellarton,4208.0,2018.0,468.1,750,2635,820,42,43.1,50034,74232,4190,175,4015,800,870,1785
817,Stellarton,45.5568,-62.6603,Nova Scotia,municipal [12044],,2013,Total violent Criminal Code violations [100],59.0,1328.83,Stellarton,4208.0,2018.0,468.1,750,2635,820,42,43.1,50034,74232,4190,175,4015,800,870,1785
818,Stellarton,45.5568,-62.6603,Nova Scotia,municipal [12044],,2013,Total property crime violations [200],127.0,2860.36,Stellarton,4208.0,2018.0,468.1,750,2635,820,42,43.1,50034,74232,4190,175,4015,800,870,1785
819,Stellarton,45.5568,-62.6603,Nova Scotia,municipal [12044],,2013,Total other Criminal Code violations [300],43.0,968.47,Stellarton,4208.0,2018.0,468.1,750,2635,820,42,43.1,50034,74232,4190,175,4015,800,870,1785
820,Sydney,46.1368,-60.1942,Nova Scotia,municipal [12048],,2013,"Total, all Criminal Code violations (excluding traffic) [50]",,,Mahone Bay,1036.0,571.0,332.1,110,535,390,53.4,57.7,53035,64499,975,15,955,110,210,545
821,Sydney,46.1368,-60.1942,Nova Scotia,municipal [12048],,2013,Total violent Criminal Code violations [100],,,Mahone Bay,1036.0,571.0,332.1,110,535,390,53.4,57.7,53035,64499,975,15,955,110,210,545
822,Sydney,46.1368,-60.1942,Nova Scotia,municipal [12048],,2013,Total property crime violations [200],,,Mahone Bay,1036.0,571.0,332.1,110,535,390,53.4,57.7,53035,64499,975,15,955,110,210,545
823,Sydney,46.1368,-60.1942,Nova Scotia,municipal [12048],,2013,Total other Criminal Code violations [300],,,Mahone Bay,1036.0,571.0,332.1,110,535,390,53.4,57.7,53035,64499,975,15,955,110,210,545
824,Truro,45.3646,-63.2765,Nova Scotia,municipal [12052],,2013,"Total, all Criminal Code violations (excluding traffic) [50]",1333.0,10739.61,Truro,12261.0,6574.0,355.5,1620,7560,3075,45.6,46.9,43301,60446,11735,860,10875,2050,2925,5155
825,Truro,45.3646,-63.2765,Nova Scotia,municipal [12052],,2013,Total violent Criminal Code violations [100],190.0,1530.78,Truro,12261.0,6574.0,355.5,1620,7560,3075,45.6,46.9,43301,60446,11735,860,10875,2050,2925,5155
826,Truro,45.3646,-63.2765,Nova Scotia,municipal [12052],,2013,Total property crime violations [200],708.0,5704.16,Truro,12261.0,6574.0,355.5,1620,7560,3075,45.6,46.9,43301,60446,11735,860,10875,2050,2925,5155
827,Truro,45.3646,-63.2765,Nova Scotia,municipal [12052],,2013,Total other Criminal Code violations [300],435.0,3504.67,Truro,12261.0,6574.0,355.5,1620,7560,3075,45.6,46.9,43301,60446,11735,860,10875,2050,2925,5155
828,Westville,45.5564,-62.7155,Nova Scotia,municipal [12054],,2013,"Total, all Criminal Code violations (excluding traffic) [50]",148.0,3823.3,Westville,3628.0,1698.0,254.9,630,2285,715,42.4,44,51200,61628,3615,45,3575,810,720,1440
829,Westville,45.5564,-62.7155,Nova Scotia,municipal [12054],,2013,Total violent Criminal Code violations [100],47.0,1214.16,Westville,3628.0,1698.0,254.9,630,2285,715,42.4,44,51200,61628,3615,45,3575,810,720,1440
830,Westville,45.5564,-62.7155,Nova Scotia,municipal [12054],,2013,Total property crime violations [200],72.0,1859.98,Westville,3628.0,1698.0,254.9,630,2285,715,42.4,44,51200,61628,3615,45,3575,810,720,1440
831,Westville,45.5564,-62.7155,Nova Scotia,municipal [12054],,2013,Total other Criminal Code violations [300],29.0,749.16,Westville,3628.0,1698.0,254.9,630,2285,715,42.4,44,51200,61628,3615,45,3575,810,720,1440
832,Wolfville,45.0918,-64.3598,Nova Scotia,municipal [12056],,2013,"Total, all Criminal Code violations (excluding traffic) [50]",,,Wolfville,4195.0,2585.0,649.8,390,2655,1150,46,47.4,53362,70633,3940,380,3565,345,865,2340
833,Wolfville,45.0918,-64.3598,Nova Scotia,municipal [12056],,2013,Total violent Criminal Code violations [100],,,Wolfville,4195.0,2585.0,649.8,390,2655,1150,46,47.4,53362,70633,3940,380,3565,345,865,2340
834,Wolfville,45.0918,-64.3598,Nova Scotia,municipal [12056],,2013,Total property crime violations [200],,,Wolfville,4195.0,2585.0,649.8,390,2655,1150,46,47.4,53362,70633,3940,380,3565,345,865,2340
835,Wolfville,45.0918,-64.3598,Nova Scotia,municipal [12056],,2013,Total other Criminal Code violations [300],,,Wolfville,4195.0,2585.0,649.8,390,2655,1150,46,47.4,53362,70633,3940,380,3565,345,865,2340
836,Yarmouth,43.8379,-66.1197,Nova Scotia,municipal [12057],,2013,"Total, all Criminal Code violations (excluding traffic) [50]",,,Yarmouth,9845.0,4981.0,16.8,1375,6265,2205,45.2,48.5,58531,71972,9720,245,9475,2190,1720,4430
837,Yarmouth,43.8379,-66.1197,Nova Scotia,municipal [12057],,2013,Total violent Criminal Code violations [100],,,Yarmouth,9845.0,4981.0,16.8,1375,6265,2205,45.2,48.5,58531,71972,9720,245,9475,2190,1720,4430
838,Yarmouth,43.8379,-66.1197,Nova Scotia,municipal [12057],,2013,Total property crime violations [200],,,Yarmouth,9845.0,4981.0,16.8,1375,6265,2205,45.2,48.5,58531,71972,9720,245,9475,2190,1720,4430
839,Yarmouth,43.8379,-66.1197,Nova Scotia,municipal [12057],,2013,Total other Criminal Code violations [300],,,Yarmouth,9845.0,4981.0,16.8,1375,6265,2205,45.2,48.5,58531,71972,9720,245,9475,2190,1720,4430
